categoria,mob,n_risco,eventos,censuras,S,S_lo,S_hi
3,0,34530197,0,0,1.0,1.0,1.0
3,1,34530197,108885,2399868,0.9968466730728469,0.9968279724864536,0.9968653736592402
3,2,32021444,134764,2504283,0.9926513892795867,0.9926222966258894,0.9926804819332841
3,3,29382397,153541,2160806,0.9874641784825446,0.9874253550401954,0.9875030019248939
3,4,27068050,116833,1753533,0.9832020169169848,0.9831563111489914,0.9832477226849783
3,5,25197684,140797,1697337,0.9777081828655751,0.9776544739546754,0.9777618917764749
3,6,23359550,137912,1490979,0.9719359102440839,0.9718744828387882,0.9719973376493796
3,7,21730659,117127,1382115,0.96669723168587,0.9666292021008019,0.966765261270938
3,8,20231417,107528,1309123,0.9615593305725313,0.9614850536783079,0.9616336074667546
3,9,18814766,91119,1202024,0.9569025453304274,0.956822710542432,0.9569823801184228
3,10,17521623,93155,1257770,0.951815102425723,0.9517292672746321,0.9519009375768138
3,11,16170698,72251,1346710,0.9475623736340925,0.9474714929086457,0.9476532543595392
3,12,14751737,101559,14650178,0.9410388376529464,0.9409401226722709,0.9411375526336219
4,0,31652712,0,0,1.0,1.0,1.0
4,1,31652712,156393,2223735,0.9950590963579993,0.9950346689021231,0.9950835238138754
4,2,29272584,200349,2166427,0.9882486591620131,0.9882102947484562,0.98828702357557
4,3,26905808,222392,1769224,0.9800802147945978,0.9800293163403482,0.9801311132488475
4,4,24914192,161158,1478486,0.9737405443266225,0.973681306581316,0.973799782071929
4,5,23274548,201361,1404964,0.9653161757955493,0.9652469593361235,0.9653853922549751
4,6,21668223,195105,1248341,0.9566242764885046,0.956545668658358,0.9567028843186511
4,7,20224777,165908,1108048,0.9487768910531222,0.9486903321131758,0.9488634499930687
4,8,18950821,147877,1043715,0.9413733975412442,0.9412796490328476,0.9414671460496408
4,9,17759229,129495,945212,0.9345091835534295,0.9344089404799419,0.934609426626917
4,10,16684522,120723,1026614,0.9277474224333854,0.9276408945754607,0.92785395029131
4,11,15537185,108570,1051339,0.9212645532615507,0.921152006208566,0.9213771003145353
4,12,14377276,149641,14227635,0.911675883682236,0.9115544739324773,0.9117972934319946
5,0,37088010,0,0,1.0,1.0,1.0
5,1,37088010,300044,2752742,0.991909946098483,0.9918811156674252,0.9919387765295409
5,2,34035224,369381,2781153,0.9811448432215399,0.9811000614090236,0.9811896250340563
5,3,30884690,382220,1999166,0.9690024781216754,0.9689440008119771,0.9690609554313737
5,4,28503304,266396,1581790,0.9599460408692887,0.9598787527790084,0.960013328959569
5,5,26655118,326371,1427028,0.9481922549995525,0.9481146424202834,0.9482698675788216
5,6,24901719,315511,1253877,0.9361784222771142,0.9360912034164662,0.9362656411377622
5,7,23332331,264026,1078267,0.925584733883094,0.9254896004813923,0.9256798672847958
5,8,21990038,236295,1037767,0.9156388190696269,0.915536604336651,0.9157410338026027
5,9,20715976,215041,931134,0.9061340828558201,0.9060253207431928,0.9062428449684474
5,10,19569801,201281,1056065,0.8968142346707874,0.896699222302055,0.8969292470395197
5,11,18312455,197390,1042260,0.8871474717063641,0.887026049868491,0.8872688935442372
5,12,17072805,221743,16851062,0.8756251271461946,0.8754961582044977,0.8757540960878915
6,0,32931591,0,0,1.0,1.0,1.0
6,1,32931591,317152,1989809,0.9903693690353436,0.9903360129032172,0.99040272516747
6,2,30624630,467114,2537226,0.9752633776340572,0.975209275940068,0.9753174793280465
6,3,27620290,475961,1741595,0.9584573508877021,0.9583861654595962,0.958528536315808
6,4,25402734,341716,1359667,0.945564242133505,0.9454819280496484,0.9456465562173616
6,5,23701351,364044,1099560,0.9310407245094147,0.9309471255924001,0.9311343234264292
6,6,22237747,388738,901530,0.914765203919836,0.9146601843465139,0.914870223493158
6,7,20947479,306584,781467,0.9013768446199623,0.9012631705270835,0.901490518712841
6,8,19859428,270445,731001,0.8891019260904233,0.8889807510459237,0.8892231011349229
6,9,18857982,254109,640764,0.8771213864262688,0.8769932028473963,0.8772495700051413
6,10,17963109,236558,716770,0.8655704861377816,0.8654358038503556,0.8657051684252077
6,11,17009781,221375,724755,0.8543054577186179,0.854164589921327,0.8544463255159087
6,12,16063651,243294,15820357,0.8413664694381707,0.8412186497110786,0.8415142891652628
7,0,28455446,0,0,1.0,1.0,1.0
7,1,28455446,278028,1047075,0.9902293571501216,0.9901932159274345,0.9902654983728088
7,2,27130343,522518,1969950,0.9711579925441022,0.9710957114239029,0.9712202736643014
7,3,24637875,548321,1486939,0.9495446707121757,0.9494615552782857,0.9496277861460658
7,4,22602615,437984,1269736,0.9311447920672844,0.9310470423697023,0.9312425417648665
7,5,20894895,391713,760394,0.9136887809250867,0.9135786334980689,0.9137989283521044
7,6,19742788,404421,635333,0.8949723296077498,0.8948502645201992,0.8950943946953003
7,7,18703034,339006,561365,0.8787503097166987,0.8786188082543543,0.878881811179043
7,8,17802663,304410,521579,0.8637244463511528,0.8635847794153584,0.8638641132869471
