arquivo,pop,mob,evento,n
2022/CENTRO_OESTE.parquet,geral,6,1,429
2022/CENTRO_OESTE.parquet,geral,7,0,10284
2022/CENTRO_OESTE.parquet,geral,7,1,399
2022/CENTRO_OESTE.parquet,geral,8,0,11068
2022/CENTRO_OESTE.parquet,geral,8,1,378
2022/CENTRO_OESTE.parquet,geral,9,0,11588
2022/CENTRO_OESTE.parquet,geral,9,1,336
2022/CENTRO_OESTE.parquet,geral,10,0,8502
2022/CENTRO_OESTE.parquet,geral,10,1,264
2022/CENTRO_OESTE.parquet,geral,11,0,14573
2022/CENTRO_OESTE.parquet,geral,11,1,249
2022/CENTRO_OESTE.parquet,geral,12,0,833535
2022/CENTRO_OESTE.parquet,geral,12,1,435
2022/CENTRO_OESTE.parquet,privado,1,0,5508
2022/CENTRO_OESTE.parquet,privado,1,1,68
2022/CENTRO_OESTE.parquet,privado,2,0,8345
2022/CENTRO_OESTE.parquet,privado,2,1,179
2022/CENTRO_OESTE.parquet,privado,3,0,9336
2022/CENTRO_OESTE.parquet,privado,3,1,138
2022/CENTRO_OESTE.parquet,privado,4,0,7677
2022/CENTRO_OESTE.parquet,privado,4,1,112
2022/CENTRO_OESTE.parquet,privado,5,0,9040
2022/CENTRO_OESTE.parquet,privado,5,1,132
2022/CENTRO_OESTE.parquet,privado,6,0,8056
2022/CENTRO_OESTE.parquet,privado,6,1,129
2022/CENTRO_OESTE.parquet,privado,7,0,7512
2022/CENTRO_OESTE.parquet,privado,7,1,99
2022/CENTRO_OESTE.parquet,privado,8,0,8536
2022/CENTRO_OESTE.parquet,privado,8,1,80
2022/CENTRO_OESTE.parquet,privado,9,0,9113
2022/CENTRO_OESTE.parquet,privado,9,1,82
2022/CENTRO_OESTE.parquet,privado,10,0,6589
2022/CENTRO_OESTE.parquet,privado,10,1,54
2022/CENTRO_OESTE.parquet,privado,11,0,9026
2022/CENTRO_OESTE.parquet,privado,11,1,41
2022/CENTRO_OESTE.parquet,privado,12,0,110911
2022/CENTRO_OESTE.parquet,privado,12,1,181
2022/MG_ES_RJ.parquet,geral,1,0,19388
2022/MG_ES_RJ.parquet,geral,1,1,541
2022/MG_ES_RJ.parquet,geral,2,0,24557
2022/MG_ES_RJ.parquet,geral,2,1,1024
2022/MG_ES_RJ.parquet,geral,3,0,25154
2022/MG_ES_RJ.parquet,geral,3,1,897
2022/MG_ES_RJ.parquet,geral,4,0,24433
2022/MG_ES_RJ.parquet,geral,4,1,762
2022/MG_ES_RJ.parquet,geral,5,0,30253
2022/MG_ES_RJ.parquet,geral,5,1,718
2022/MG_ES_RJ.parquet,geral,6,0,25537
2022/MG_ES_RJ.parquet,geral,6,1,644
2022/MG_ES_RJ.parquet,geral,7,0,21992
2022/MG_ES_RJ.parquet,geral,7,1,563
2022/MG_ES_RJ.parquet,geral,8,0,21716
2022/MG_ES_RJ.parquet,geral,8,1,594
2022/MG_ES_RJ.parquet,geral,9,0,21789
2022/MG_ES_RJ.parquet,geral,9,1,481
2022/MG_ES_RJ.parquet,geral,10,0,20646
2022/MG_ES_RJ.parquet,geral,10,1,445
2022/MG_ES_RJ.parquet,geral,11,0,28218
2022/MG_ES_RJ.parquet,geral,11,1,473
2022/MG_ES_RJ.parquet,geral,12,0,1526592
2022/MG_ES_RJ.parquet,geral,12,1,669
2022/MG_ES_RJ.parquet,privado,1,0,16222
2022/MG_ES_RJ.parquet,privado,1,1,249
2022/MG_ES_RJ.parquet,privado,2,0,19566
2022/MG_ES_RJ.parquet,privado,2,1,505
2022/MG_ES_RJ.parquet,privado,3,0,20504
2022/MG_ES_RJ.parquet,privado,3,1,542
2022/MG_ES_RJ.parquet,privado,4,0,20695
2022/MG_ES_RJ.parquet,privado,4,1,391
2022/MG_ES_RJ.parquet,privado,5,0,25202
2022/MG_ES_RJ.parquet,privado,5,1,387
2022/MG_ES_RJ.parquet,privado,6,0,20028
2022/MG_ES_RJ.parquet,privado,6,1,328
2022/MG_ES_RJ.parquet,privado,7,0,17276
2022/MG_ES_RJ.parquet,privado,7,1,260
2022/MG_ES_RJ.parquet,privado,8,0,17705
2022/MG_ES_RJ.parquet,privado,8,1,215
2022/MG_ES_RJ.parquet,privado,9,0,17933
2022/MG_ES_RJ.parquet,privado,9,1,178
2022/MG_ES_RJ.parquet,privado,10,0,16416
2022/MG_ES_RJ.parquet,privado,10,1,178
2022/MG_ES_RJ.parquet,privado,11,0,24583
2022/MG_ES_RJ.parquet,privado,11,1,221
2022/MG_ES_RJ.parquet,privado,12,0,244188
2022/MG_ES_RJ.parquet,privado,12,1,323
2022/NI.parquet,geral,2,0,363
2022/NI.parquet,geral,3,0,2
2022/NI.parquet,geral,5,0,2
2022/NI.parquet,geral,6,0,4
2022/NI.parquet,geral,7,0,2
2022/NI.parquet,geral,8,0,4
2022/NI.parquet,geral,9,0,1
2022/NI.parquet,geral,10,0,23
2022/NI.parquet,geral,12,0,1
2022/NI.parquet,privado,2,0,363
2022/NI.parquet,privado,3,0,2
2022/NI.parquet,privado,5,0,2
2022/NI.parquet,privado,6,0,4
2022/NI.parquet,privado,7,0,2
2022/NI.parquet,privado,8,0,4
2022/NI.parquet,privado,9,0,1
2022/NI.parquet,privado,10,0,23
2022/NI.parquet,privado,12,0,1
2022/NORDESTE.parquet,geral,1,0,11531
2022/NORDESTE.parquet,geral,1,1,420
2022/NORDESTE.parquet,geral,2,0,14003
2022/NORDESTE.parquet,geral,2,1,809
2022/NORDESTE.parquet,geral,3,0,15845
2022/NORDESTE.parquet,geral,3,1,692
2022/NORDESTE.parquet,geral,4,0,15079
2022/NORDESTE.parquet,geral,4,1,613
2022/NORDESTE.parquet,geral,5,0,17405
2022/NORDESTE.parquet,geral,5,1,634
2022/NORDESTE.parquet,geral,6,0,15901
2022/NORDESTE.parquet,geral,6,1,681
2022/NORDESTE.parquet,geral,7,0,14600
2022/NORDESTE.parquet,geral,7,1,713
2022/NORDESTE.parquet,geral,8,0,12821
2022/NORDESTE.parquet,geral,8,1,609
2022/NORDESTE.parquet,geral,9,0,14545
2022/NORDESTE.parquet,geral,9,1,522
2022/NORDESTE.parquet,geral,10,0,11282
2022/NORDESTE.parquet,geral,10,1,461
2022/NORDESTE.parquet,geral,11,0,14659
2022/NORDESTE.parquet,geral,11,1,402
2022/NORDESTE.parquet,geral,12,0,1885170
2022/NORDESTE.parquet,geral,12,1,738
2022/NORDESTE.parquet,privado,1,0,9473
2022/NORDESTE.parquet,privado,1,1,123
2022/NORDESTE.parquet,privado,2,0,11073
2022/NORDESTE.parquet,privado,2,1,223
2022/NORDESTE.parquet,privado,3,0,12167
2022/NORDESTE.parquet,privado,3,1,185
2022/NORDESTE.parquet,privado,4,0,11758
2022/NORDESTE.parquet,privado,4,1,176
2022/NORDESTE.parquet,privado,5,0,12896
2022/NORDESTE.parquet,privado,5,1,213
2022/NORDESTE.parquet,privado,6,0,11726
2022/NORDESTE.parquet,privado,6,1,157
2022/NORDESTE.parquet,privado,7,0,10261
2022/NORDESTE.parquet,privado,7,1,153
2022/NORDESTE.parquet,privado,8,0,9441
2022/NORDESTE.parquet,privado,8,1,136
2022/NORDESTE.parquet,privado,9,0,11577
2022/NORDESTE.parquet,privado,9,1,96
2022/NORDESTE.parquet,privado,10,0,7889
2022/NORDESTE.parquet,privado,10,1,119
2022/NORDESTE.parquet,privado,11,0,11804
2022/NORDESTE.parquet,privado,11,1,99
2022/NORDESTE.parquet,privado,12,0,145968
2022/NORDESTE.parquet,privado,12,1,203
2022/NORTE.parquet,geral,1,0,3759
2022/NORTE.parquet,geral,1,1,266
2022/NORTE.parquet,geral,2,0,4768
2022/NORTE.parquet,geral,2,1,308
2022/NORTE.parquet,geral,3,0,5209
2022/NORTE.parquet,geral,3,1,335
2022/NORTE.parquet,geral,4,0,4954
2022/NORTE.parquet,geral,4,1,401
2022/NORTE.parquet,geral,5,0,5922
2022/NORTE.parquet,geral,5,1,282
2022/NORTE.parquet,geral,6,0,5699
2022/NORTE.parquet,geral,6,1,323
2022/NORTE.parquet,geral,7,0,6610
2022/NORTE.parquet,geral,7,1,328
2022/NORTE.parquet,geral,8,0,4281
2022/NORTE.parquet,geral,8,1,381
2022/NORTE.parquet,geral,9,0,4768
2022/NORTE.parquet,geral,9,1,288
2022/NORTE.parquet,geral,10,0,4121
2022/NORTE.parquet,geral,10,1,248
2022/NORTE.parquet,geral,11,0,4922
2022/NORTE.parquet,geral,11,1,285
2022/NORTE.parquet,geral,12,0,685303
2022/NORTE.parquet,geral,12,1,543
2022/NORTE.parquet,privado,1,0,2578
2022/NORTE.parquet,privado,1,1,45
2022/NORTE.parquet,privado,2,0,3313
2022/NORTE.parquet,privado,2,1,90
2022/NORTE.parquet,privado,3,0,3796
2022/NORTE.parquet,privado,3,1,63
2022/NORTE.parquet,privado,4,0,3289
2022/NORTE.parquet,privado,4,1,63
2022/NORTE.parquet,privado,5,0,4656
2022/NORTE.parquet,privado,5,1,57
2022/NORTE.parquet,privado,6,0,3720
2022/NORTE.parquet,privado,6,1,52
2022/NORTE.parquet,privado,7,0,4142
2022/NORTE.parquet,privado,7,1,49
2022/NORTE.parquet,privado,8,0,2870
2022/NORTE.parquet,privado,8,1,36
2022/NORTE.parquet,privado,9,0,3433
2022/NORTE.parquet,privado,9,1,34
2022/NORTE.parquet,privado,10,0,2599
2022/NORTE.parquet,privado,10,1,21
2022/NORTE.parquet,privado,11,0,3806
